HelpID,Department,JobRole,JobLevel,BusinessTravel,StockOptionLevel
1,Sales,"Sales Executive",2,Travel_Rarely,0
2,"Research & Development","Research Scientist",2,Travel_Frequently,1
3,"Research & Development","Laboratory Technician",1,Travel_Rarely,0
4,"Research & Development","Research Scientist",1,Travel_Frequently,0
5,"Research & Development","Laboratory Technician",1,Travel_Rarely,1
6,"Research & Development","Laboratory Technician",1,Travel_Frequently,0
7,"Research & Development","Laboratory Technician",1,Travel_Rarely,3
8,"Research & Development","Manufacturing Director",3,Travel_Frequently,0
9,"Research & Development","Healthcare Representative",2,Travel_Rarely,2
10,"Research & Development","Laboratory Technician",2,Travel_Rarely,0
11,"Research & Development","Research Scientist",1,Travel_Rarely,1
12,"Research & Development","Manufacturing Director",3,Travel_Rarely,1
13,"Research & Development","Research Scientist",1,Travel_Rarely,2
14,"Research & Development","Laboratory Technician",1,Non-Travel,2
15,Sales,Manager,4,Travel_Rarely,0
16,"Research & Development","Research Scientist",1,Travel_Rarely,0
17,"Research & Development","Manufacturing Director",2,Non-Travel,1
18,Sales,"Sales Representative",1,Travel_Rarely,0
19,"Research & Development","Research Director",3,Travel_Rarely,0
20,"Research & Development",Manager,5,Travel_Rarely,1
21,Sales,"Sales Executive",2,Travel_Rarely,1
22,"Research & Development","Healthcare Representative",3,Travel_Rarely,1
23,Sales,Manager,5,Travel_Rarely,0
24,"Research & Development","Healthcare Representative",2,Travel_Rarely,0
25,Sales,"Sales Representative",2,Travel_Rarely,1
26,Sales,"Sales Executive",2,Travel_Frequently,2
27,Sales,"Sales Executive",3,Travel_Frequently,0
28,"Research & Development","Laboratory Technician",2,Travel_Frequently,0
29,"Research & Development","Research Director",5,Travel_Rarely,0
30,Sales,"Sales Executive",2,Non-Travel,0
31,Sales,"Sales Executive",2,Travel_Frequently,0
32,"Research & Development","Laboratory Technician",3,Travel_Rarely,0
33,"Research & Development","Healthcare Representative",3,Non-Travel,1
34,"Research & Development","Research Director",3,Travel_Frequently,0
35,Sales,"Sales Executive",3,Travel_Frequently,1
36,"Research & Development","Laboratory Technician",2,Travel_Rarely,1
37,"Research & Development","Manufacturing Director",2,Travel_Rarely,1
38,"Research & Development","Research Director",5,Travel_Rarely,1
39,Sales,"Sales Executive",3,Travel_Rarely,0
40,"Research & Development","Healthcare Representative",3,Travel_Rarely,3
41,"Research & Development",Manager,4,Travel_Rarely,3
42,"Research & Development","Manufacturing Director",2,Travel_Frequently,0
43,"Research & Development","Research Scientist",3,Travel_Rarely,1
44,"Research & Development","Research Scientist",1,Travel_Frequently,1
45,"Research & Development","Research Scientist",2,Travel_Rarely,2
46,"Research & Development","Manufacturing Director",2,Travel_Rarely,0
47,"Human Resources","Human Resources",2,Travel_Rarely,1
48,"Research & Development","Laboratory Technician",2,Travel_Rarely,2
49,Sales,"Sales Executive",3,Travel_Rarely,1
50,"Research & Development","Research Scientist",2,Non-Travel,3
51,"Research & Development","Manufacturing Director",3,Travel_Rarely,0
52,Sales,"Sales Representative",1,Travel_Rarely,1
53,"Research & Development","Laboratory Technician",1,Travel_Rarely,2
54,"Research & Development","Healthcare Representative",2,Travel_Rarely,3
55,"Research & Development","Healthcare Representative",4,Travel_Frequently,1
56,Sales,"Sales Executive",2,Travel_Rarely,3
57,"Research & Development","Healthcare Representative",3,Travel_Frequently,1
58,"Research & Development","Research Director",3,Travel_Rarely,1
59,Sales,"Sales Executive",4,Travel_Rarely,0
60,"Research & Development","Laboratory Technician",2,Non-Travel,1
61,"Human Resources","Human Resources",1,Travel_Rarely,0
62,"Research & Development","Research Scientist",2,Travel_Rarely,0
63,"Research & Development","Healthcare Representative",2,Non-Travel,1
64,"Human Resources",Manager,5,Non-Travel,1
65,"Research & Development","Research Director",5,Travel_Frequently,0
66,"Research & Development","Healthcare Representative",3,Travel_Frequently,0
67,"Human Resources",Manager,4,Non-Travel,0
68,"Research & Development","Research Scientist",2,Travel_Rarely,1
69,"Research & Development",Manager,3,Travel_Rarely,0
70,Sales,Manager,4,Travel_Frequently,2
71,"Research & Development","Research Scientist",1,Travel_Frequently,3
72,Sales,"Sales Executive",2,Non-Travel,1
73,"Research & Development","Research Scientist",1,Travel_Rarely,3
74,"Human Resources","Human Resources",1,Travel_Rarely,1
75,"Research & Development","Manufacturing Director",2,Travel_Rarely,2
76,"Human Resources","Human Resources",2,Travel_Rarely,0
77,Sales,"Sales Executive",2,Travel_Frequently,3
78,"Research & Development",Manager,4,Travel_Frequently,1
79,Sales,"Sales Executive",3,Travel_Rarely,2
80,Sales,"Sales Representative",1,Travel_Frequently,1
81,"Research & Development","Research Scientist",1,Non-Travel,1
82,"Research & Development",Manager,5,Travel_Rarely,0
83,Sales,"Sales Representative",1,Travel_Frequently,0
84,"Research & Development","Laboratory Technician",2,Non-Travel,2
85,Sales,"Sales Executive",3,Travel_Rarely,3
86,"Research & Development","Healthcare Representative",4,Travel_Rarely,0
87,"Research & Development","Research Scientist",1,Non-Travel,3
88,"Research & Development",Manager,4,Non-Travel,1
89,"Research & Development","Manufacturing Director",2,Travel_Frequently,1
90,"Research & Development","Manufacturing Director",2,Non-Travel,2
91,"Research & Development","Manufacturing Director",3,Non-Travel,0
92,"Research & Development","Research Director",3,Travel_Rarely,2
93,Sales,Manager,3,Travel_Rarely,0
94,Sales,"Sales Executive",3,Non-Travel,0
95,"Research & Development","Research Director",3,Travel_Frequently,3
96,Sales,Manager,5,Travel_Rarely,1
97,Sales,Manager,4,Travel_Rarely,1
98,Sales,Manager,5,Non-Travel,0
99,"Research & Development","Research Director",3,Travel_Frequently,1
100,"Research & Development","Manufacturing Director",3,Travel_Frequently,2
101,Sales,"Sales Executive",2,Travel_Rarely,2
102,"Research & Development","Healthcare Representative",2,Travel_Rarely,1
103,"Research & Development","Healthcare Representative",2,Non-Travel,2
104,"Research & Development",Manager,3,Non-Travel,1
105,"Research & Development","Research Director",3,Non-Travel,2
106,"Research & Development",Manager,3,Travel_Rarely,1
107,"Research & Development","Research Director",5,Travel_Rarely,2
108,"Research & Development","Research Director",4,Travel_Rarely,3
109,"Research & Development","Healthcare Representative",2,Travel_Frequently,1
110,"Research & Development","Laboratory Technician",1,Travel_Frequently,1
111,Sales,"Sales Executive",4,Travel_Frequently,1
112,"Research & Development","Laboratory Technician",1,Travel_Frequently,2
113,"Research & Development","Laboratory Technician",3,Travel_Frequently,1
114,"Research & Development",Manager,3,Travel_Frequently,2
115,"Research & Development",Manager,4,Travel_Rarely,0
116,"Research & Development","Manufacturing Director",3,Travel_Frequently,1
117,"Research & Development",Manager,5,Travel_Frequently,1
118,"Research & Development","Laboratory Technician",2,Travel_Frequently,1
119,"Research & Development","Research Scientist",2,Travel_Frequently,0
120,Sales,"Sales Representative",2,Travel_Frequently,0
121,"Research & Development","Research Director",4,Travel_Rarely,0
122,Sales,Manager,3,Travel_Rarely,1
123,Sales,"Sales Representative",1,Non-Travel,0
124,"Research & Development","Manufacturing Director",2,Non-Travel,0
125,"Research & Development","Healthcare Representative",3,Travel_Rarely,0
126,"Research & Development","Research Director",4,Travel_Rarely,1
127,"Research & Development","Research Scientist",2,Non-Travel,2
128,Sales,"Sales Executive",4,Travel_Frequently,3
129,"Research & Development","Healthcare Representative",2,Travel_Frequently,3
130,"Research & Development","Laboratory Technician",1,Non-Travel,1
131,"Research & Development",Manager,4,Travel_Rarely,1
132,"Research & Development","Laboratory Technician",1,Non-Travel,0
133,"Research & Development","Manufacturing Director",2,Travel_Rarely,3
134,"Human Resources","Human Resources",3,Travel_Frequently,3
135,"Research & Development","Manufacturing Director",4,Travel_Rarely,0
136,"Human Resources","Human Resources",1,Travel_Frequently,1
137,Sales,"Sales Executive",3,Non-Travel,1
138,"Research & Development","Healthcare Representative",2,Non-Travel,0
139,Sales,"Sales Representative",1,Travel_Frequently,2
140,"Human Resources",Manager,5,Travel_Frequently,1
141,Sales,"Sales Representative",1,Travel_Rarely,2
142,"Human Resources","Human Resources",3,Travel_Rarely,1
143,Sales,"Sales Executive",2,Travel_Frequently,1
144,"Human Resources",Manager,5,Travel_Rarely,3
145,"Human Resources",Manager,5,Travel_Rarely,1
146,"Research & Development","Research Director",3,Non-Travel,1
147,Sales,"Sales Executive",4,Travel_Frequently,2
148,"Research & Development","Laboratory Technician",2,Travel_Frequently,2
149,Sales,"Sales Representative",2,Travel_Rarely,0
150,"Research & Development","Laboratory Technician",1,Non-Travel,3
151,"Research & Development","Manufacturing Director",4,Travel_Frequently,0
152,Sales,"Sales Representative",1,Travel_Rarely,3
153,Sales,"Sales Executive",4,Travel_Rarely,1
154,"Human Resources","Human Resources",2,Travel_Rarely,2
155,"Research & Development","Laboratory Technician",3,Travel_Rarely,1
156,"Research & Development","Laboratory Technician",2,Non-Travel,0
157,Sales,"Sales Executive",4,Non-Travel,0
158,Sales,"Sales Executive",2,Non-Travel,2
159,"Research & Development","Research Scientist",1,Non-Travel,0
160,Sales,Manager,4,Non-Travel,0
161,"Research & Development","Research Director",5,Travel_Frequently,1
162,"Research & Development","Manufacturing Director",4,Travel_Rarely,1
163,"Research & Development","Research Director",3,Travel_Rarely,3
164,"Research & Development","Healthcare Representative",2,Travel_Frequently,2
165,"Research & Development","Research Director",5,Non-Travel,2
166,"Research & Development","Research Scientist",1,Travel_Frequently,2
167,"Research & Development",Manager,4,Non-Travel,0
168,"Research & Development","Research Scientist",2,Travel_Rarely,3
169,"Research & Development","Healthcare Representative",3,Non-Travel,0
170,"Research & Development","Healthcare Representative",2,Travel_Frequently,0
171,"Research & Development","Manufacturing Director",3,Travel_Rarely,3
172,"Research & Development","Healthcare Representative",4,Travel_Frequently,3
173,Sales,"Sales Executive",4,Travel_Frequently,0
174,Sales,"Sales Representative",1,Non-Travel,3
175,"Research & Development","Laboratory Technician",2,Travel_Rarely,3
176,"Human Resources","Human Resources",2,Non-Travel,1
177,"Research & Development","Research Director",4,Travel_Rarely,2
178,"Research & Development","Healthcare Representative",4,Non-Travel,1
179,Sales,Manager,5,Travel_Frequently,1
180,"Research & Development",Manager,5,Travel_Rarely,2
181,"Human Resources","Human Resources",2,Travel_Frequently,2
182,"Research & Development",Manager,5,Travel_Frequently,0
183,"Research & Development",Manager,4,Travel_Rarely,2
184,"Research & Development","Laboratory Technician",2,Non-Travel,3
185,"Research & Development",Manager,3,Travel_Rarely,2
186,"Human Resources",Manager,5,Travel_Rarely,0
187,"Human Resources",Manager,4,Travel_Rarely,1
188,"Research & Development","Research Scientist",2,Travel_Frequently,2
189,"Research & Development","Manufacturing Director",4,Travel_Frequently,1
190,"Human Resources","Human Resources",3,Travel_Rarely,0
191,"Research & Development","Manufacturing Director",3,Travel_Rarely,2
192,"Research & Development","Research Scientist",1,Non-Travel,2
193,"Research & Development","Healthcare Representative",3,Travel_Rarely,2
194,"Research & Development","Research Director",4,Travel_Frequently,2
195,Sales,"Sales Representative",1,Non-Travel,1
196,"Research & Development","Laboratory Technician",1,Travel_Frequently,3
197,"Research & Development","Research Director",4,Travel_Frequently,0
198,"Human Resources",Manager,4,Travel_Rarely,0
199,"Human Resources","Human Resources",2,Travel_Frequently,0
200,"Research & Development","Research Scientist",2,Non-Travel,1
201,"Research & Development","Manufacturing Director",2,Travel_Frequently,2
202,"Research & Development","Healthcare Representative",4,Travel_Rarely,1
203,Sales,Manager,4,Travel_Rarely,3
204,"Human Resources","Human Resources",1,Travel_Rarely,3
205,"Human Resources","Human Resources",3,Travel_Rarely,2
206,"Research & Development","Research Director",5,Travel_Rarely,3
207,"Research & Development","Manufacturing Director",4,Non-Travel,3
208,"Human Resources","Human Resources",1,Non-Travel,3
209,Sales,Manager,4,Non-Travel,1
210,Sales,"Sales Executive",3,Travel_Frequently,2
211,Sales,"Sales Representative",2,Travel_Rarely,2
212,"Human Resources","Human Resources",1,Non-Travel,1
213,"Human Resources","Human Resources",1,Travel_Frequently,0
214,"Research & Development","Research Scientist",2,Non-Travel,0
215,Sales,"Sales Representative",1,Non-Travel,2
216,"Research & Development",Manager,5,Non-Travel,0
217,"Research & Development","Manufacturing Director",2,Travel_Frequently,3
